Id,Expected
0,33.0
1,47.0
2,1.0
3,17.0
4,83.0
5,2.0
6,7.0
7,5.0
8,28.0
9,39.0
10,88.0
11,24.0
12,48.0
13,61.0
14,39.0
15,50.0
16,49.0
17,7.0
18,28.0
19,27.0
20,77.0
21,33.0
22,57.0
23,12.0
24,21.0
25,25.0
26,7.0
27,28.0
28,25.0
29,4.0
30,53.0
31,4.0
32,6.0
33,8.0
34,94.0
35,78.0
36,99.0
37,31.0
38,98.0
39,52.0
40,93.0
41,9.0
42,51.0
43,24.0
44,33.0
45,13.0
46,97.0
47,17.0
48,90.0
49,32.0
50,37.0
51,74.0
52,7.0
53,28.0
54,75.0
55,99.0
56,45.0
57,84.0
58,26.0
59,88.0
60,53.0
61,4.0
62,85.0
63,57.0
64,3.0
65,61.0
66,67.0
67,27.0
68,20.0
69,86.0
70,92.0
71,48.0
72,24.0
73,87.0
74,98.0
75,60.0
76,56.0
77,73.0
78,25.0
79,39.0
80,100.0
81,76.0
82,65.0
83,52.0
84,54.0
85,97.0
86,42.0
87,88.0
88,78.0
89,9.0
90,20.0
91,38.0
92,54.0
93,26.0
94,61.0
95,66.0
96,7.0
97,34.0
98,99.0
99,34.0
100,100.0
101,100.0
102,74.0
103,54.0
104,22.0
105,98.0
106,57.0
107,42.0
108,52.0
109,90.0
110,7.0
111,100.0
112,34.0
113,7.0
114,91.0
115,83.0
116,76.0
117,6.0
118,87.0
119,3.0
120,50.0
121,96.0
122,0.0
123,19.0
124,1.0
125,88.0
126,21.0
127,96.0
128,61.0
129,47.0
130,56.0
131,30.0
132,56.0
133,35.0
134,39.0
135,62.0
136,30.0
137,94.0
138,90.0
139,18.0
140,25.0
141,94.0
142,94.0
143,69.0
144,59.0
145,7.0
146,14.0
147,87.0
148,87.0
149,4.0
150,40.0
151,100.0
152,22.0
153,36.0
154,13.0
155,68.0
156,54.0
157,39.0
158,27.0
159,98.0
160,75.0
161,24.0
162,12.0
163,40.0
164,64.0
165,96.0
166,54.0
167,89.0
168,41.0
169,52.0
170,49.0
171,66.0
172,14.0
173,1.0
174,28.0
175,15.0
176,65.0
177,48.0
178,63.0
179,81.0
180,42.0
181,83.0
182,18.0
183,22.0
184,10.0
185,33.0
186,77.0
187,0.0
188,17.0
189,27.0
190,58.0
191,34.0
192,98.0
193,7.0
194,49.0
195,36.0
196,20.0
197,7.0
198,80.0
199,97.0
200,49.0
201,68.0
202,77.0
203,32.0
204,14.0
205,36.0
206,36.0
207,79.0
208,7.0
209,91.0
210,19.0
211,6.0
212,63.0
213,2.0
214,43.0
215,40.0
216,92.0
217,66.0
218,94.0
219,42.0
220,21.0
221,22.0
222,50.0
223,65.0
224,9.0
225,13.0
226,67.0
227,49.0
228,86.0
229,65.0
230,56.0
231,84.0
232,99.0
233,78.0
234,96.0
235,27.0
236,1.0
237,40.0
238,74.0
239,36.0
